squareMeters,numberOfRooms,hasYard,hasPool,floors,made,hasStormProtector,basement,garage,price
75523,3,0,1,63,2005,1,4313,956,7559081.5
80771,39,1,1,98,2015,0,3653,128,8085989.5
55712,58,0,1,19,2021,0,2937,135,5574642.1
32316,47,0,0,6,2012,1,659,359,3232561.2
70429,19,1,1,90,1990,0,8435,292,7055052.0
39223,36,0,1,17,2012,1,2009,757,3926647.2
58682,10,1,1,99,1995,1,5930,848,5876376.5
86929,100,1,0,11,2003,0,6326,654,8696869.3
51522,3,0,0,61,2012,1,632,807,5154055.2
39686,42,0,0,15,2021,1,5198,591,3970892.1
23563,21,0,1,90,1993,0,703,684,2366397.3
96470,74,1,0,21,2011,1,5414,716,9652258.1
19127,31,1,0,5,2008,0,5387,374,1914688.8
13087,44,1,0,77,2004,0,1745,582,1320803.4
79770,3,0,1,69,2018,1,8871,240,7986665.8
75985,60,1,0,67,2009,1,4878,384,7607322.9
64169,88,0,1,6,2011,1,3054,726,6420823.1
99371,31,1,1,16,2013,1,3258,354,9944705.3
25966,37,1,1,17,2016,0,8257,162,2604486.6
41792,43,1,1,10,2017,1,2950,572,4187667.7
28795,64,1,1,50,2009,1,9862,330,2888047.9
92383,12,0,0,78,2000,0,7507,892,9244344.0
33279,64,1,0,65,2019,1,2427,732,3333351.9
34782,47,0,0,73,2020,1,9586,822,3482594.0
13386,51,0,0,90,1993,0,2885,904,1342509.3
20883,56,0,0,54,2018,0,9982,670,2091505.8
95121,46,0,1,3,1994,0,615,328,9515440.4
6071,72,1,0,14,2003,1,3306,295,612471.3
11844,43,0,0,55,1993,0,5292,395,1189939.3
52078,7,1,1,73,2016,1,1864,558,5217708.6
25897,98,1,0,92,1993,1,9799,116,2598763.3
85443,40,1,1,54,2021,0,3056,292,8555234.1
11412,78,0,0,79,2009,1,6899,695,1145642.9
97550,89,1,1,98,2014,0,5391,388,9765099.4
76485,47,1,0,9,2008,0,2860,982,7653300.8
26169,29,0,0,62,1993,1,7918,919,2622399.3
24239,87,1,0,91,1998,0,6656,698,2427801.8
36239,8,0,1,24,1990,1,6679,798,3627708.0
10500,88,0,1,49,2013,1,4170,422,1057021.3
87060,27,0,1,91,2000,0,6629,512,8711426.0
66683,19,1,1,6,2001,0,7473,237,6677649.1
66569,59,1,1,56,2016,1,2020,269,6667802.6
84559,29,0,1,69,2000,0,3573,918,8460604.0
28749,39,0,1,53,1996,0,8113,982,2877997.6
76091,38,1,0,32,2016,0,8150,930,7614076.6
92696,49,1,0,38,2021,0,1559,957,9272740.1
46988,66,1,1,27,1991,1,8339,874,4707341.1
48062,22,0,1,4,2008,0,7908,817,4809993.8
5767,97,1,1,11,1998,0,2516,307,586742.8
59800,47,0,1,27,2021,0,5075,864,5984462.1
54836,25,0,1,53,2020,0,5278,313,5492532.0
54318,10,1,1,52,1998,1,9580,227,5444967.8
70021,52,1,0,28,1992,1,4480,680,7005572.2
54368,11,1,1,20,2021,0,231,223,5446398.1
31421,29,0,1,68,1999,1,8949,630,3147829.9
63053,6,1,1,28,1997,1,8414,939,6315375.7
4187,89,0,1,17,1994,0,186,559,421906.4
33108,82,0,1,83,2016,0,6250,552,3316069.6
64393,8,0,0,51,1990,0,3835,559,6441378.0
93876,60,0,1,70,1999,1,4086,494,9390891.9
67040,60,1,1,22,1993,0,4817,927,6714247.3
47938,17,0,0,68,2013,1,327,352,4797883.3
39090,57,1,0,74,2010,0,3572,811,3917691.0
43609,66,0,0,55,2005,1,3388,120,4364910.5
41998,74,1,0,17,1990,0,6838,828,4203344.0
36496,9,0,1,47,2017,1,2768,230,3656368.7
84016,15,1,0,55,2016,0,3284,641,8410054.6
3087,27,1,1,94,2005,1,5866,199,321717.5
89768,48,1,1,17,1993,1,2485,864,8980518.3
30226,74,1,1,87,2007,0,515,223,3039243.7
58478,5,0,1,35,2016,0,8366,979,5853710.6
66621,48,0,0,89,1995,1,5024,388,6666403.5
73314,43,0,1,38,2018,1,3281,968,7336538.8
59972,28,0,1,18,2021,1,8384,226,6000826.1
71591,20,1,0,58,1998,0,6486,366,7165980.8
92462,52,1,1,46,2019,0,9584,677,9257840.9
52325,60,1,1,24,1992,0,8987,808,5238533.2
67311,67,0,0,10,1990,1,6928,774,6732249.0
45050,99,0,1,87,2013,0,5218,144,4508695.3
61534,73,1,0,97,2001,0,9265,755,6159875.1
84091,50,0,1,72,1993,0,2668,766,8414104.3
77579,69,1,1,97,1999,0,4850,144,7767797.9
25204,31,1,1,37,2020,0,6560,116,2530488.0
42059,46,0,1,62,2017,1,8827,860,4212125.7
38430,43,0,1,51,2021,1,1214,289,3846214.1
7069,4,0,0,89,2009,1,7499,493,709107.9
34780,75,0,1,9,2019,1,3033,800,3480536.9
12757,100,1,0,7,2020,1,6795,738,1277834.0
33749,74,0,1,38,1999,1,1729,616,3380855.9
600,37,1,0,43,2011,0,6738,866,63402.1
7239,61,1,0,83,1994,0,7782,986,733776.4
34919,20,1,1,84,1997,0,6566,408,3499532.7
25614,29,0,0,27,1994,0,700,519,2563970.4
51434,64,0,0,23,2012,1,2080,753,5146226.2
78960,55,0,1,76,2015,1,7126,974,7900996.5
70751,64,1,1,41,2006,0,1506,794,7084110.6
81870,60,0,1,100,2020,0,3632,723,8198185.0
91559,36,0,1,21,2007,1,788,132,9161130.7
72098,9,0,1,67,2014,0,9080,740,7216904.4
23177,19,0,0,52,2003,0,2706,648,2318776.3
39517,92,0,0,85,2019,1,7618,810,3953491.9
55232,23,0,0,8,1991,0,1492,625,5524015.1
53735,49,0,1,92,2006,0,8654,290,5384554.6
67753,72,1,1,78,1995,1,7480,929,6789580.5
1450,59,0,0,1,2018,1,1285,869,146181.8
82141,93,1,1,61,2019,1,8785,968,8225970.9
17868,73,1,0,35,2013,0,1718,710,1792308.3
71397,71,0,0,93,1995,1,3477,342,7145471.5
32623,35,0,1,14,2003,0,4633,126,3267852.3
23841,71,1,1,25,2010,1,7590,564,2390804.0
16495,94,0,0,6,1991,1,2214,929,1650711.1
39109,24,1,0,67,2002,0,1642,139,3917652.2
65151,81,1,1,3,1991,0,3218,849,6522781.1
61484,91,1,0,94,2013,0,5486,766,6154833.3
57160,15,1,1,43,2002,0,4018,836,5724102.2
13346,57,0,0,57,2021,1,2525,809,1336414.1
27351,77,0,0,36,1997,1,1150,812,2738851.7
18466,50,0,1,60,2020,0,2475,568,1849227.0
45441,29,1,0,66,2004,1,8121,853,4552319.4
55933,15,0,0,97,2001,1,7369,686,5599976.1
81936,68,0,0,92,2011,0,6393,734,8198107.1
18237,70,1,0,74,2011,0,7173,498,1833338.1
35631,54,1,0,7,2018,1,216,775,3568002.8
99683,12,1,0,77,2002,1,4034,787,9977000.2
47664,44,0,0,77,2010,1,2662,417,4770073.0
62887,45,0,1,7,1993,0,292,675,6293710.3
18470,20,1,1,73,2000,0,4089,905,1852115.0
36031,63,1,0,47,2001,1,9701,514,3612495.1
22776,84,0,0,5,1993,1,2422,544,2278599.3
14830,81,1,0,1,1992,0,6151,243,1487488.2
43944,40,1,0,69,2012,1,7466,735,4403326.2
73062,34,1,1,38,2016,0,9823,728,7313447.6
